phase,epic,task_id,title,priority,dependencies,deliverable,quality_gate
Phase 0,Foundation,S0-001,Initialize project repository,P0,-,Per original Sprint 0 Codex pack,build + typecheck + lint; no feature code
Phase 0,Foundation,S0-002,Create route group architecture,P0,S0-001,Per original Sprint 0 Codex pack,build + typecheck + lint; no feature code
Phase 0,Foundation,S0-003,Add approved brand assets and logo components,P0,S0-002,Per original Sprint 0 Codex pack,build + typecheck + lint; no feature code
Phase 0,Foundation,S0-004,Implement design token foundation,P0,S0-003,Per original Sprint 0 Codex pack,build + typecheck + lint; no feature code
Phase 0,Foundation,S0-005,Create primitive UI components,P0,S0-004,Per original Sprint 0 Codex pack,build + typecheck + lint; no feature code
Phase 0,Foundation,S0-006,Configure database and Prisma,P0,S0-005,Per original Sprint 0 Codex pack,build + typecheck + lint; no feature code
Phase 0,Foundation,S0-007,Implement User / Role / UserRole models,P0,S0-006,Per original Sprint 0 Codex pack,build + typecheck + lint; no feature code
Phase 0,Foundation,S0-008,Seed roles,P0,S0-007,Per original Sprint 0 Codex pack,build + typecheck + lint; no feature code
Phase 0,Foundation,S0-009,Create Supabase Auth skeleton,P0,S0-008,Per original Sprint 0 Codex pack,build + typecheck + lint; no feature code
Phase 0,Foundation,S0-010,Create permission helpers,P0,S0-009,Per original Sprint 0 Codex pack,build + typecheck + lint; no feature code
Phase 0,Foundation,S0-011,Create route guards,P0,S0-010,Per original Sprint 0 Codex pack,build + typecheck + lint; no feature code
Phase 0,Foundation,S0-012,Create API response and error helpers,P0,S0-011,Per original Sprint 0 Codex pack,build + typecheck + lint; no feature code
Phase 0,Foundation,S0-013,Create validation pattern,P0,S0-012,Per original Sprint 0 Codex pack,build + typecheck + lint; no feature code
Phase 0,Foundation,S0-014,Create audit helper and AuditLog base,P0,S0-013,Per original Sprint 0 Codex pack,build + typecheck + lint; no feature code
Phase 0,Foundation,S0-015,Create base layouts,P0,S0-014,Per original Sprint 0 Codex pack,build + typecheck + lint; no feature code
Phase 0,Foundation,S0-016,Create canonical placeholder pages,P0,S0-015,Per original Sprint 0 Codex pack,build + typecheck + lint; no feature code
Phase 0,Foundation,S0-017,Create Sprint 0 QA checklist,P0,S0-016,Per original Sprint 0 Codex pack,build + typecheck + lint; no feature code
Phase 0,Foundation,S0-018,Create developer README,P0,S0-017,Per original Sprint 0 Codex pack,build + typecheck + lint; no feature code
Phase 1,Identity,P1-001,Implement User/AuthIdentity reconciliation,P0,S0-018,Canonical business identity linked to Supabase subjects,E2E + accessibility + security review
Phase 1,Authorization,P1-002,Implement Capability and ScopedGrant model,P0,P1-001,RBAC + scoped authorization service,E2E + accessibility + security review
Phase 1,Auth,P1-003,Implement signup/login/recovery UI,P0,P1-001,set35 auth surfaces,E2E + accessibility + security review
Phase 1,Auth,P1-004,Implement phone verification and account linking,P0,P1-003,verified phone identity flow,E2E + accessibility + security review
Phase 1,Onboarding,P1-005,Implement resumable onboarding state machine,P0,P1-003,set35 steps and persistence,E2E + accessibility + security review
Phase 1,Family,P1-006,Implement FamilyProfile/FamilyMember,P0,P1-005,family core and privacy-safe DTOs,E2E + accessibility + security review
Phase 1,Consent,P1-007,Implement consent records and policy versions,P0,P1-005,set60 consent management foundation,E2E + accessibility + security review
Phase 1,App Shell,P1-008,Implement canonical /app shell and role context,P0,P1-002,set39 shell,E2E + accessibility + security review
Phase 1,Responsive,P1-009,Implement responsive navigation contract,P0,P1-008,set61 + set39 behavior,E2E + accessibility + security review
Phase 1,Media,P1-010,Implement secure media upload pipeline,P0,P1-006,"signed upload, scan/quarantine hooks",E2E + accessibility + security review
Phase 2,Discovery,P2-001,Implement global search provider and endpoint,P0,P1-008,Postgres FTS/trigram adapter,P0 launch gate
Phase 2,Experiences,P2-002,Implement Experience/Occurrence model,P0,P1-010,event/activity shared core,P0 launch gate
Phase 2,Experiences,P2-003,Implement public/app discovery,P0,P2-002,set37 discovery,P0 launch gate
Phase 2,Experiences,P2-004,Implement registration/cancellation,P0,P2-002,registration invariants,P0 launch gate
Phase 2,Listings,P2-005,Implement Listing draft lifecycle,P0,P1-010,set36 create flow,P0 launch gate
Phase 2,Listings,P2-006,Implement listing discovery/detail,P0,P2-005,set36 discovery/detail,P0 launch gate
Phase 2,Community,P2-007,Implement feed/post/comment/reaction core,P0,P1-008,set38 core,P0 launch gate
Phase 2,Connections,P2-008,Implement connection request/block core,P0,P1-006,set46,P0 launch gate
