domain,entity,kind,data_sensitivity,scope,lifecycle,key_relations,implementation_notes
Identity & Access,User,aggregate_root,CONFIDENTIAL,global,ACTIVE|SUSPENDED|DEACTIVATED|DELETED,"AuthIdentity, UserRole, UserPreference",Business identity; never use provider user id as domain foreign key.
Identity & Access,AuthIdentity,entity,RESTRICTED,global,ACTIVE|REVOKED,User,"provider, providerSubject, verifiedEmail/Phone metadata."
Identity & Access,Role,reference,INTERNAL,global,ACTIVE,UserRole,Seeded stable RoleKey.
Identity & Access,UserRole,association,INTERNAL,global,ACTIVE|REVOKED,"User, Role",Coarse role assignment; auditable.
Identity & Access,Capability,reference,INTERNAL,global,ACTIVE,ScopedGrant,Code-defined key mirrored for admin display.
Identity & Access,ScopedGrant,entity,RESTRICTED,organization/scope,ACTIVE|REVOKED|EXPIRED,"User, Capability, Organization",Fine-grained scoped grant; optional resource/geo scope.
Identity & Access,Organization,aggregate_root,CONFIDENTIAL,organization,PENDING|ACTIVE|SUSPENDED|CLOSED,OrganizationMembership,"Partner, municipality, provider organizations."
Identity & Access,OrganizationMembership,association,CONFIDENTIAL,organization,INVITED|ACTIVE|SUSPENDED|LEFT,"Organization, User",Membership separate from platform RoleKey.
Identity & Access,UserPreference,entity,CONFIDENTIAL,user,ACTIVE,User,"Locale, timezone, accessibility, communication settings."
Identity & Access,AuditLog,append_only,RESTRICTED,global/scope,IMMUTABLE,"User, Organization","Actor, action, target, before/after hash, request id, IP risk metadata."
Family,FamilyProfile,aggregate_root,RESTRICTED,family,ACTIVE|HIDDEN|DELETED,"User, FamilyMember, FamilyVisibilityRule",Parent-owned family unit.
Family,FamilyMember,entity,HIGHLY_RESTRICTED,family,ACTIVE|REMOVED|ANONYMIZED,FamilyProfile,Child/member data minimized; age stage preferred over birthdate in discovery.
Family,Interest,reference,PUBLIC,global,ACTIVE,FamilyInterest,Controlled taxonomy.
Family,FamilyInterest,association,CONFIDENTIAL,family,ACTIVE,"FamilyProfile, Interest",Matching/discovery preference input.
Family,FamilyVisibilityRule,entity,RESTRICTED,family,ACTIVE,FamilyProfile,Field-level audience policy.
Connections & Matching,MatchPreference,aggregate_root,RESTRICTED,user/family,ACTIVE|PAUSED,FamilyProfile,Explicit opt-in; coarse geography.
Connections & Matching,MatchCandidateSnapshot,derived,RESTRICTED,user/family,EPHEMERAL,FamilyProfile,Derived score explanation; no sensitive raw feature dump.
Connections & Matching,ConnectionRequest,aggregate_root,CONFIDENTIAL,user,PENDING|ACCEPTED|DECLINED|CANCELLED|EXPIRED,"User, FamilyProfile",Rate-limited and reportable.
Connections & Matching,Connection,aggregate_root,CONFIDENTIAL,user,ACTIVE|BLOCKED|REMOVED,User,Mutual relationship; messaging eligibility policy.
Connections & Matching,BlockRelation,entity,RESTRICTED,user,ACTIVE|REVOKED,User,Always checked by search/matching/messaging.
Community,Group,aggregate_root,CONFIDENTIAL,group,DRAFT|ACTIVE|ARCHIVED|DELETED,"GroupMembership, Post, Experience",Visibility PUBLIC|PRIVATE|SECRET.
Community,GroupMembership,association,CONFIDENTIAL,group,PENDING|ACTIVE|MUTED|BANNED|LEFT,"Group, User",Group-level roles OWNER|ADMIN|MODERATOR|MEMBER.
Community,Post,aggregate_root,CONFIDENTIAL,context,DRAFT|PUBLISHED|HIDDEN|DELETED,"Comment, Reaction, MediaAsset",Author/context visibility enforced server-side.
Community,Comment,entity,CONFIDENTIAL,context,PUBLISHED|HIDDEN|DELETED,"Post, User",Thread parent optional.
Community,Reaction,association,CONFIDENTIAL,context,ACTIVE|REMOVED,"User, Post/Comment",Unique actor+target+type.
Community,Poll,entity,CONFIDENTIAL,context,OPEN|CLOSED,"Post, PollOption, PollVote",Vote privacy explicit.
Messaging,Conversation,aggregate_root,RESTRICTED,context,ACTIVE|ARCHIVED|LOCKED,"ConversationParticipant, Message",ContextType DIRECT|GROUP|LISTING|BOOKING|EVENT|SUPPORT.
Messaging,ConversationParticipant,association,RESTRICTED,conversation,ACTIVE|LEFT|REMOVED|BLOCKED,"Conversation, User","lastReadMessageId, notification state."
Messaging,Message,aggregate_root,HIGHLY_RESTRICTED,conversation,SENT|EDITED|DELETED|REMOVED,"Conversation, MediaAsset",Text encrypted at rest by platform storage; excluded from analytics.
Messaging,MessageMention,association,RESTRICTED,conversation,ACTIVE,"Message, User",Mention permission and notification.
Messaging,MessageReceipt,entity,RESTRICTED,conversation,DELIVERED|READ,"Message, User",Optional; avoid unnecessary retention.
