decision_id,topic,source_evidence,current_conflict,default_until_decided,required_decision,blocks
DSD-001,Dark shell surfaces,"HTML #3A342C in 201 deduplicated files; supplemental PNG dark olive clusters in 77 screens","Locked brand system prohibits black/deep-green visual brand colors and discourages large dark surfaces",Record as observed reference only; do not promote to production token,Approve functional dark shell exception or update/reaffirm locked rule,Production token approval and System Lab finalization
DSD-002,Typography pairing,"Hanken Grotesk in 232 files; Newsreader in 224 CSS files and 229 imports",No production font pair is explicitly approved in the current repository,Use Hanken Grotesk + Newsreader as source-derived candidate,Approve or replace the dominant source pairing,Production typography tokens
DSD-003,Copper normalization,"#BC7A45 in 197 files; #9E5A2C in 160; locked #C98A5C and #9B5C38",Prototype has multiple close copper variants,Use locked values for accessibility tests while preserving observed comparison,Approve final visual copper and action copper steps,Color token finalization
DSD-004,Neutral text scale,"Observed #3A342C #463F37 #7C7062 #8A7C6C versus locked #62554D #695A52",Observed hierarchy has more steps than locked semantic scale,Keep all observed values in audit only,Approve accessible strong/default/muted/inverse text scale,Text and border parity
DSD-005,Border and sand scale,"#EFE4D4 in 211 files; #DBC9B0 in 198; locked #E8D9C9",Several near-neutral steps are used without semantic names,Use locked Sand Beige plus temporary comparison swatches,Approve subtle border strong divider and secondary surface values,Surface primitives
DSD-006,Route candidates,"/community /municipalities /organizers /organizers/[organizerId] /partners /app/resources",Supplemental screens cover routes absent from current 105-route map,Keep as candidates; do not add routes,Approve add merge or archive for each candidate,Consolidated route map
DSD-007,Footer families,"SiteFooter in 122 files and Footer in 53 files",Two recurring footer systems may represent public versus app contexts or duplicates,Reconstruct both as reference variants,Define canonical public and compact/app footer strategy,Shared shell approval
DSD-008,Sidebar families,"DashboardSidebar 63; AdminSidebar 31; PartnerSidebar 7",Potential duplication versus legitimate role-specific information architecture,Use shared sidebar primitive with role-specific navigation models,Approve which differences are structural versus content-only,Workspace shell architecture
DSD-009,Responsive source fidelity,"Only 14 of 234 files contain media queries; 63 use fixed 1200/1280 references",Screens are visual prototypes rather than responsive specifications,Reconstruct responsive behavior from layouts and supplemental mobile evidence,Approve desktop tablet mobile breakpoints and navigation changes,System Lab responsive approval
DSD-010,Semantic and accessibility reconstruction,"0 native form controls; 2 files with ARIA; prototype pseudo-elements dominate",Raw HTML cannot be copied as accessible production code,Use semantic React primitives and WCAG AA checks,Approve interaction behavior where visual source is ambiguous,Production component implementation
