adr_id,title,status,decision,source_conflicts
ADR-001,Repository baseline,ACCEPTED,Treat GitHub as pre-Sprint-0. No product feature work before S0-001…S0-018 passes quality gates.,"C-001,C-026"
ADR-002,Application architecture,ACCEPTED,Modular monolith in one Next.js + TypeScript application. Domain modules own business logic and persistence access; cross-domain calls go through public module services/events.,Sprint 0
ADR-003,Persistence stack,ACCEPTED,PostgreSQL + Prisma. Supabase Postgres is the initial hosting target. Database remains portable PostgreSQL; vendor-specific features require an adapter/ADR.,Sprint 0
ADR-004,Authentication,ACCEPTED,Supabase Auth is identity provider. Application User is canonical business identity. Email and verified phone identities may link to one User; no custom password store.,C-018
ADR-005,Authorization,ACCEPTED,Hybrid RBAC + capability grants. Coarse RoleKey is stable; fine-grained operational access uses Capability and ScopedGrant. Every server mutation checks capability and object scope.,C-017
ADR-006,Route namespaces,ACCEPTED,Public pages live outside protected shells; authenticated product under /app; privileged operations under /admin. Role workspaces are subtrees of /app.,C-004
ADR-007,Visual source precedence,ACCEPTED,The current Site.zip corpus is visual baseline. Dedicated canonical sets supersede older domain generations; older sets remain reference for missing states/capabilities.,"C-005,C-007,C-008"
ADR-008,Brand tokens,ACCEPTED,Set50 is canonical for production visual tokens. Sprint 0 token values are deprecated starter values. Canonical colors: Copper #C6683D; Deep Green #163A2F; Ivory #FAF7F2; Sage #A8BFAE; Sand #F1E9D8; Stone #D9D5CC; Charcoal #1F1F1F; Success #2E7D4F; Warning #E2A23B; Error #D64545; Info #4A7BD3.,C-002
ADR-009,Logo system,ACCEPTED,Set50/510 is canonical. Approved Primary Logo may use Huddle wordmark + icon lockup exactly as supplied. Do not recreate or alter geometry. Sprint 0 prohibition on lockup is superseded.,C-003
ADR-010,Typography implementation,ACCEPTED,"Visual metrics follow set50. Use a production-safe system UI stack by default: ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", sans-serif. Do not bundle or redistribute SF Pro font files. H1 32/700, H2 24/600, H3 20/600, body large 16/400, body regular 14/400, body small 12/400.",C-009
ADR-011,Spacing and responsive system,ACCEPTED,"Set50 8pt scale: 4, 8, 16, 24, 32, 64px. Semantic viewports: compact 0–767, medium 768–1199, wide >=1200. Set61 is responsive behavior reference; mobile sets target responsive web first.","C-010,C-021"
ADR-012,Mobile strategy,ACCEPTED,"P0/P1 is responsive web/PWA-capable web. Native mobile is a separate future program. Sets34/43/52/57 are interaction and compact-layout references, not authorization to create native clients in current roadmap.",C-010
ADR-013,Marketplace boundaries,ACCEPTED,"Separate Listings, Catalog & Partner Feed, Orders & Fulfillment, Payments & Settlement, and Affiliate Tracking. Never create a single MarketplaceItem aggregate/table.",C-011
ADR-014,Experience model,ACCEPTED,"Use shared Experience aggregate for discoverable scheduled offerings with ExperienceKind EVENT|ACTIVITY, shared occurrence/registration primitives, and optional EventDetails/ActivityDetails extensions. Community events are Experience with community context.",C-013
ADR-015,Messaging core,ACCEPTED,"One Conversation/Participant/Message core supports direct, group, listing, booking, event and support contexts. Context policies determine who may create, join, message, attach media, or report.",C-016
